id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
80;;9;1280;Консоль STV 41/21;./webfiles/1280.png;Описание товарной группы Полка STV 41/21;
81;;9;1281;Консоль STV 41/21 D;./webfiles/1281.png;Описание товарной группы Полка STV 41/21 D;
82;;9;1282;Консоль STV 41/41;./webfiles/1282.png;Описание товарной группы Полка STV 41/41;
83;;10;1284;Уголок СТД 41;./webfiles/1284.png;Описание товарной группы Уголок СТД 41;
84;;10;1285;Соединитель СН;./webfiles/1285.png;Описание товарной группы Соединитель СН;
85;;10;1286;Соединитель профилей SK;./webfiles/1286.png;Описание товарной группы Соединитель профилей SK;
86;;10;1287;Соединительная пластина СС;./webfiles/1287.png;Описание товарной группы Соединительная пластина СС;
87;;10;1288;Поворотная петля СШ;./webfiles/1288.png;Описание товарной группы Поворотная петля СШ;
88;;10;1616;Уголок двухмерный СТД 41;./webfiles/1616.png;Описание товарной группы Уголок двухмерный СТД 41;
89;;10;1625;Уголок монтажный СТУ 45;./webfiles/1625.png;Описание товарной группы Уголок монтажный СТУ 45;
90;;10;1626;Уголок монтажный СТУ 60;./webfiles/1626.png;Описание товарной группы Уголок монтажный СТУ 60;
91;;10;1627;Уголок монтажный СТУ 90;./webfiles/1627.png;Описание товарной группы Уголок монтажный СТУ 90;
92;;11;1290;Поворотный шарнир ПШ;./webfiles/1290.png;Описание товарной группы Поворотный шарнир ПШ;
93;;11;1291;СТШ;./webfiles/1291.png;Описание товарной группы СТШ;
94;;11;1292;Поворотная петля  JOI;./webfiles/1292.png;Описание товарной группы Поворотная петля  JOI;
95;;12;1295;Опора-уголок СТ;./webfiles/1295.png;Описание товарной группы Опора-уголок СТ;
96;;12;1296;СТО ;./webfiles/1296.png;Описание товарной группы СТО ;
97;;12;1297; FK-HV 150 377;./webfiles/1297.png;Описание товарной группы  FK-HV 150 377;
98;;12;1298;WBD ;./webfiles/1298.png;Описание товарной группы WBD ;
99;;12;1628;Подвижная опора СТШ;./webfiles/1628.png;Описание товарной группы Подвижная опора СТШ;
100;;13;1448;Декоративные крышки;./webfiles/1448.png;Описание товарной группы Декоративные крышки;
101;;13;1449;Звукоизоляция для профиля;./webfiles/1449.png;Описание товарной группы Звукоизоляция для профиля;
102;;14;1301;Крепления кабельные СЭ;./webfiles/1301.png;Описание товарной группы Крепления кабельные СЭ;
103;;14;1452;Аксессуары для креплений кабельных;./webfiles/1452.png;Описание товарной группы Аксессуары для креплений кабельных;
104;;15;1303;Крюки СЭ;./webfiles/1303.png;Описание товарной группы Крюки СЭ;
